Date,S&P Daily Return,UPRO Mimic,UPRO Daily Return,SPY Cumulative,UPRO Mimic Cumulative,UPRO Cumulative
2014-06-13,0.003048528101672332,0.009145584305016996,0.009117206557182955,186.77896564915417,454.63238286294586,421.58689184683027
2014-06-16,0.000824080138409844,0.002472240415229532,0.0017166960957426536,186.93288648501837,455.75634341393175,422.31062841808
2014-06-17,0.0027791576791820205,0.008337473037546062,0.008027256492222357,187.45240245198488,459.55619963883595,425.7006241517836
2014-06-18,0.0073397168849136385,0.022019150654740915,0.022816875907035072,188.82825001537935,469.6752368330037,435.41378246660213
2014-06-19,0.0011211757291293978,0.0033635271873881933,0.003324362252153712,189.03995966627056,471.2550022613344,436.8612556091016
2014-06-20,0.0020304630237468757,0.006091389071240627,0.0061036333950055255,189.42379831438353,474.1255998318766,439.5276965578213
2014-06-23,-0.00030657003380107906,-0.0009197101014032372,-0.0012136932474586803,189.36572665413155,473.6895417283773,438.994244760438
2014-06-24,-0.006024058144623701,-0.018072174433871102,-0.018134245948240535,188.22497650616813,465.1289417027616,431.0334151560901
2014-06-25,0.004519550941355588,0.013558652824066764,0.013131352536797314,189.0756688759232,471.435463541735,436.69346688564445
2014-06-26,-0.0007158056927869527,-0.002147417078360858,-0.001483617917183988,188.94032743577435,470.4230949759805,436.0455806338557
2014-06-27,0.001944333000498455,0.005832999001495365,0.005594241896582863,189.3076903495327,473.16707241925576,438.48492508985737
2014-06-30,-0.0005104230039598701,-0.0015312690118796102,-0.0015645142667739531,189.21106334955178,472.4425263438183,437.79890916878895
2014-07-01,0.006693356879967638,0.020080070639902914,0.019501898992314803,190.47752052218848,481.92920564609636,446.33681927434424
2014-07-02,0.001014947647040243,0.003044842941120729,0.002647555771054577,190.67084523345653,483.39660438602783,447.51852089604813
2014-07-03,0.004918376588048945,0.014755129764146835,0.015075347796557281,191.60863625467627,490.5291840112916,454.26501824395694
2014-07-07,-0.0034814338137776346,-0.010444301441332904,-0.009901071322989119,190.9415634694074,485.40594934770667,449.76730789878457
2014-07-08,-0.006430309993621042,-0.019290929980863125,-0.01906792805380586,189.71375002563246,476.0420171665457,441.1911772308166
2014-07-09,0.0044840838876472056,0.013452251662941617,0.012527001177390362,190.56444239538752,482.4458541836044,446.71797962744125
2014-07-10,-0.003956731522505308,-0.011870194567515924,-0.012030494670086211,189.81043005909305,476.7191280261536,441.3437413545016
2014-07-11,0.0013752183529343043,0.004125655058802913,0.004750049607327167,190.07146084608866,478.6859067083229,443.4401460198188
2014-07-14,0.005035542323871711,0.015106626971615134,0.014010192883429085,191.02857373173927,485.9172361375348,449.6528279978125
2014-07-15,-0.0018726439259559857,-0.005617931777867957,-0.005170455642297456,190.6708452334565,483.187386255224,447.3279179962161
2014-07-16,0.003701229274284179,0.011103687822852537,0.010906698424109296,191.3765617475871,488.55254815214215,452.2067886944856
2014-07-17,-0.011365722080323493,-0.03409716624097048,-0.03430581361599694,189.20142893407615,471.89429070034873,436.6934668856441
2014-07-18,0.010218958597011607,0.03065687579103482,0.030462143442832268,191.13487050284888,486.3610953568478,449.9960859144623
2014-07-21,-0.001871602483323076,-0.005614807449969228,-0.00609857829784366,190.77714200456612,483.6302714552629,447.2517495507898
2014-07-22,0.004358458468207038,0.013075375404621115,0.013464934287926056,191.60863625467627,489.9539188115793,453.2739649686511
2014-07-23,0.0022198695903883348,0.006659608771165004,0.0067271399062622805,192.0339824395538,493.21682022676356,456.3232023468615
2014-07-24,5.017036752130721e-05,0.00015051110256392164,0.00025087460024630914,192.04361685502934,493.29105483417896,456.4376822478334
2014-07-25,-0.004681534944761534,-0.014044604834284602,-0.013695373037316494,191.14455795180413,486.3629769007455,450.1865979211612
2014-07-28,0.0004043403513636079,0.0012130210540908237,0.0005925794914598548,191.22184540952762,486.9529454316564,450.4533692664193
2014-07-29,-0.004297014572833935,-0.012891043718501805,-0.012692254841090045,190.4001623531587,480.6756137232437,444.7361003096622
2014-07-30,0.00015226686364799846,0.0004568005909439954,0.0,190.42915398871827,480.8951866276448,444.7361003096622
2014-07-31,-0.019748419172158305,-0.059245257516474914,-0.059307706834069274,186.66847923314958,452.40442745745673,418.3598220539696
2014-08-01,-0.0030553616800843564,-0.00916608504025307,-0.009657345170273723,186.09813951482099,448.2576500027947,414.3195768470201
2014-08-04,0.007221003633727241,0.021663010901181723,0.02152714089228791,187.4419548564874,457.9682603613433,423.23869275223893
2014-08-05,-0.009696390456336634,-0.029089171369009903,-0.02962894638675917,185.62444447429988,444.64634315412485,410.6985762158808
2014-08-06,0.00031246395974404706,0.0009373918792321412,0.0010206977903508552,185.68244542324558,445.06315102532784,411.1177753451246
2014-08-07,-0.005414762732951384,-0.01624428819885415,-0.016409911853391357,184.6770190376045,437.83341693338224,404.3713688903488
2014-08-08,0.011568882655836665,0.034706647967509996,0.03487585375689006,186.81352580008027,453.0291472033012,418.47416561524204
2014-08-11,0.0028980830693601245,0.008694249208080373,0.009563481858478662,187.35492691632896,456.9678955076109,422.47623570634534
2014-08-12,-0.0013934308904794968,-0.00418029267143849,-0.0047813552960706,187.09386077368023,455.05763596293775,420.45622671928686
2014-08-13,0.006768911666831912,0.020306735000495735,0.021666271602472253,188.36028259066381,464.2983707863892,429.5659455243376
2014-08-14,0.004722213775619988,0.014166641326859963,0.0125997264102935,189.24976011189312,470.8759192739654,434.9783589131233
2014-08-15,-0.00020447456482131088,-0.0006134236944639326,-0.00043829386564109285,189.21106334955172,470.5870728279303,434.787710566725
2014-08-18,0.008379098818037223,0.02513729645411167,0.024634135914369804,190.79648154682351,482.4163595850786,445.4983301227235
2014-08-19,0.005218946421021942,0.015656839263065825,0.015742729236196906,191.7922381613359,489.9694749849756,452.51168970902336
2014-08-20,0.0026720590828301916,0.008016177248490575,0.008423014751925972,192.3047183533312,493.89715714280504,456.32320234686136
2014-08-21,0.002915528812817314,0.008746586438451942,0.008854011000836381,192.86538830053107,498.2170713194602,460.3634930003774
2014-08-22,-0.0015540764051971134,-0.00466222921559134,-0.0052159105212109536,192.56566075119403,495.8942691338483,457.96227821365534
2014-08-25,0.005070291530517412,0.015210874591552237,0.014981335105829219,193.5420247899693,503.43725467231275,464.82316456940305
2014-08-26,0.0006495989831474258,0.0019487969494422774,0.0027057349476751202,193.66774949246917,504.41835165845373,466.0808528502675
2014-08-27,-0.00039934625876447694,-0.0011980387762934308,-0.0010628361402120756,193.590409001266,503.8140389136929,465.5854852755973
2014-08-28,-0.0005490807713978141,-0.0016472423141934422,-0.0021287148186878158,193.48411223015637,502.98413511030964,464.59438655372514
2014-08-29,0.002847871318975459,0.008543613956926377,0.008122082338708925,194.03513008405406,507.2814373871506,468.36786041541643
2014-09-02,-0.0004983515678076422,-0.0014950547034229267,-0.0020345623313708927,193.9384323727669,506.52302388822585,467.41493680939044
2014-09-03,-0.0005481865952789988,-0.0016445597858369965,-0.0005706405116454594,193.83211792383074,505.6900164925387,467.1482109106988
2014-09-04,-0.0014465508094473334,-0.004339652428342,-0.00562998677408888,193.55172991675113,503.4954975844785,464.51817266173236
2014-09-05,0.004495178576876091,0.013485535730628273,0.014195503969497203,194.4217795065902,510.28540410736446,471.11224222565556
2014-09-08,-0.0025856380657713895,-0.007756914197314169,-0.00768645365762044,193.91907515268295,506.3271640115619,467.4910598082504
2014-09-09,-0.006331211777397594,-0.018993635332192782,-0.01883390337865476,192.69133242021425,496.71017049954287,458.6863783574369
2014-09-10,0.003762876747529953,0.011288630242589859,0.011301342174952822,193.41640615442884,502.31734795204596,463.87015007024416
2014-09-11,0.0011496010442011428,0.0034488031326034285,0.0022185896157858043,193.63875785690962,504.049741595224,464.89928756826305
2014-09-12,-0.005841187938576353,-0.01752356381572906,-0.016971273502919937,192.50767748007493,495.2169937820783,457.00935460762946
2014-09-15,-0.0007530912923693345,-0.0022592738771080034,-0.0024188613909089662,192.36270162445044,494.0981629645266,455.90391232448485
2014-09-16,0.007538334732792862,0.022615004198378585,0.022740931773217232,193.8127960593999,505.27219499438047,466.2715920897988
2014-09-17,0.0013464543156862518,0.0040393629470587555,0.003678247946153901,194.0737561350893,507.3131727770198,467.98665461575297
2014-09-18,0.005330298517849386,0.015990895553548157,0.0156379491205354,195.10822718976962,515.4255647358362,475.30500610972365
2014-09-19,-0.000901250261622577,-0.002703750784867731,-0.0016040470635210191,194.93238584897014,514.0319824606408,474.5425945103965
